id,author,author_id,text,timestamp,like_count,is_favorited,is_pinned,parent,video_id
UgwR8wR4lO5D7Piy41F4AaABAg,@adrianuspehi367,UCq0pxKn9iz2bbkIm9x6b2-w,Sadarlah hey penghianat.... Presiden pelan tapi pasti akan hancurkan kekarakusanmu,1783900800,0,False,False,root,
Ugy_YPNvDM4v669wJtd4AaABAg,@rikiriki7169,UC2hSiyzJN4kMM9t4KSd82-g,Aku padamu wowoooo..,1783900800,0,False,False,root,
Ugx62cojy9yJbzEEqmR4AaABAg,@MamanMan-ps8bm,UCKfzZef3YIYuXgc31luUJ-w,"Banyak pak bajinganya, di partai mah, rakyat kecil aja tahu pk,",1783900800,1,False,False,root,
Ugx0GmbYBvIMYQUIJtJ4AaABAg,@SriatmodjoModjo,UCmGhOFrZhMjR8mgG49A7nbQ,Top markotop mantap boss..p pres.. Prabowo ❤❤❤❤,1783900800,0,False,False,root,
Ugxaus7W306C85yhTB54AaABAg,@MamanMan-ps8bm,UCKfzZef3YIYuXgc31luUJ-w,Sabarr...,1783900800,0,False,False,root,
UgxEgV6TVN7PYOLu0HR4AaABAg,@dsuwarsono9478,UCJGWgrpG74FPiw7416KcWRw,Hiduppp buzzer 😅,1783900800,0,False,False,root,
UgwzxriJtwDkWld4ePp4AaABAg,@ridwansaputra8944,UCTD8txpoNAckc-qK-doEqHA,"Ndasmuuuuuuu....Ngomong setinggi langit, tapi realitanya 5 persen..",1783900800,0,False,False,root,
UgzPWoAJFI5exxqOjcd4AaABAg,@Petani-rx9uw,UCoG0LTRgPIfvY6rz9HIQgPQ,aku yg salut dengan presiden ku yg satu ini berani mengungkap kasus korupsi yg besar2,1783900800,5,False,False,root,
Ugx0JV7oGPgvg__oLbF4AaABAg,@judial5244,UC5jwjf1aMnNQ-zJF8Wr-0Bw,"Yang bilang Indonesia suram kami persilahkan pindah negara lain.

Yang suka demo silahkan demo dpr agar koruptor di hukum mati dan di miskinkan.

Yang suka ngeluh silahkan ngeluh sampai mati hihiiii.",1783900800,0,False,False,root,
Ugyn_4_VSrPt3jHz33R4AaABAg,@Sebidos-w2x,UCCTtBzn4o29oRl08qbenuXQ,"Kalau pemerintahan pak Prabowo seperti ini, saya sangat setuju bapak jadi presiden seumur hidup,
Sehat selalu bapak presiden idaman ku😊😊😊❤❤❤",1783900800,1,False,False,root,
